Match_id,Team1,Team2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,PlayerOfTheMatch,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_score,si_max_indv_wickets
38,Pakistan,Sri Lanka,ODI,Dhaka,2000,Sri Lanka,Batting,193,3,14,3,15,3.99,64.61,90,3,Mohammad Yousuf,Pakistan,192,10,10,2,12,3.91,46.81,62,2
39,Pakistan,Sri Lanka,ODI,Dhaka,2000,Pakistan,Batting,277,4,16,6,17,5.54,85.63,82,2,Moin Khan,Pakistan,238,10,20,3,15,5.25,61.8,100,2
40,Bangladesh,Hong Kong,ODI,Colombo(SSC),2004,Hong Kong,Bowling,221,9,15,0,20,4.42,74.38,68,3,Javed Omar,Bangladesh,105,10,6,0,13,2.31,31.01,20,3
41,India,UAE,ODI,Dambulla,2004,India,Batting,260,6,17,1,14,5.2,74.59,104,3,Rahul Dravid,India,144,10,14,0,34,4.11,34.93,55,2
42,Bangladesh,Pakistan,ODI,Colombo(SSC),2004,Pakistan,Batting,181,10,13,1,20,3.99,45.64,62,2,Yasir Hameed,Pakistan,257,6,19,2,11,5.14,83.96,102,3
43,Sri Lanka,UAE,ODI,Dambulla,2004,Sri Lanka,Batting,239,10,20,1,24,4.78,65.42,73,4,Khurram Khan,Sri Lanka,123,10,8,0,24,2.57,28.99,39,4
44,Hong Kong,Pakistan,ODI,Colombo(SSC),2004,Pakistan,Batting,165,10,17,1,29,3.73,38.65,36,2,Shoaib Malik,Pakistan,343,5,24,6,13,6.86,136.56,144,4
45,Sri Lanka,India,ODI,Dambulla,2004,Sri Lanka,Batting,282,4,19,3,27,5.64,87.88,58,3,Nuwan Zoysa,Sri Lanka,270,8,23,2,34,5.4,73.76,82,1
46,Bangladesh,India,ODI,Colombo(SSC),2004,India,Bowling,177,10,9,2,37,3.6,34.2,35,1,Sachin Tendulkar,India,178,2,16,4,19,4.62,89.6,82,3
47,Sri Lanka,Pakistan,ODI,Colombo(RPS),2004,Pakistan,Batting,123,3,10,0,25,3.84,56.99,26,3,Nuwan Zoysa,Sri Lanka,122,10,7,1,16,3.06,33.51,43,2
